0,1,2,3,4,5
deol},el,-,ae,-,-1
Description,Date,NaN,NaN,NaN,-1
Brought-Forward,-,-,-,"4,623.93",-1
Inward-Direct-Debit-Ref#520000007-1201-90000001-48000007,30-01-2020,"1,838.00",-,"2,785.93",-1
Inward-pasting-of-cheque-500015,30-01-2020,"1,501.08",-,"1,284.85",-1
ATM-Withdrawal-31/01/2020-11:53,01-02-2020,300.00,-,984.85,-1
POS-30/01/20-EMARAT,02-02-2020,60.00,-,924.85,-1
AL-QUSAIS-(6555),02-02-2020,60.00,-,924.85,-1
POS-31/01/20-NESTO-HYPERMARKET-LLC-BR,03-02-2020,87.67,-,837.18,-1
SE99992002031835:-SCBL-TCP-EXPOLANKA-FREIGHT-DUBA,Q3-02-2020,NaN,"6,778.00","7,615.18",27
/REF/,-,-,-,-,-1
CCDM-0301-Deposit-04/02/2020-12:12,04-02-2020,-,"18,000.00","25,615.18",-1
ATM-Withdrawal-04/02/2020-14:49,04-02-2020,"1,000.00",-,"24,615.18",-1
ATM-Withdrawal-05/02/2020-09:33,05-02-2020,"6,000.00",-,"18,615.18",-1
ATM-Withdrawal-05/02/2020-09:34,05-02-2020,"6,000.00",-,"12,615.18",-1
SwitchATM-Withdrawal-06/02/2020-08:47,06-02-2020,"3,500.00",-,9115.18,-1
ATM-Withdrawal-06/02/2020-09:17,06-02-2020,"5,500.00",-,"3,615.18",-1
Switch-Charge-Txn-on-Feb-2020,06-02-2020,2.00,-,"3,613.18",-1
ATM-Withdrawal-07/02/2020-09:40,08-02-2020,200.00,-,"3,413.18",-1
ATM-Withdrawal-08/02/2020-13:43,08-02-2020,"1,200.00",-,"2,213.18",-1
POS-07/02/20-NESTO-HYPERMARKET-LLC-BR,10-02-2020,131.95,-,"2,081.23",-1
POS-08/02/20-Etisalat,14-02-2020,130.57,-,"1,950.66",-1
Dubai-#2,14-02-2020,130.57,-,"1,950.66",-1
POS-08/02/20-Etisalat,11-02-2020,150.00,-,"1,800.66",-1
Dubai-#2,11-02-2020,150.00,-,"1,800.66",-1
POS-08/02/20-Etisalat,11-02-2020,200.00,-,"1,600.66",-1
Dubai-#2,11-02-2020,200.00,-,"1,600.66",-1
©00065689701:-STS-BARSAN-GLOBAL-FZEFZJOBB1507-JAF:,12-02-2020,-,"6,208.00","7,808.66",-1
POS-10/02/20-EPPC-SITE-22,13-02-2020,60.00,-,"7,748.66",-1
Inward-posting-of-cheque-500041,16-02-2020,"1,575.00",-,"6,173.66",-1
000066020377:-STS-BARSAN-GLOBAL-FZEFZJOBB1507-JAF,22-02-2020,-,"2,315.34","8,489.00",-1
oO,-,-,-,-,-1
ATM-Withdrawal-22/02/2020-12:42,22-02-2020,"5,000.00",-,"3,489.00",-1
000066036567:-STS-BARSAN-GLOBAL-FZEFZJOBB1507-JAF.,22-02-2020,-,"2,132.29","5,62-1,29",-1
Inward-posting-of-cheque-500032,25-02-2020,"3,000.00",-,"2,62-1,29",-1
ATM-Withdrawal-25/02/2020-10:57,25-02-2020,"1,000.00",-,"1,621.29",-1
POS-23/02/20-MBME-PAY-PAYMENT-SERVICES,26-02-2020,28.55,-,"1,339.74",-1
POS-24/02/20-DUBAI-CHAMBER-OF-COM-IN,26-02-2020,100.00,-,"1,239.74",-1
"$E9999200226H917:-SCBL-TCP-EXPOLANKA-FREIGHT-DUB,",26-02-2020,NaN,"8,000.00","9,239.74",27
/REF/INV-NO-INV/MT/20/,-,-,-,-,-1
Monthly-Charges/One,27-02-2020,-,-,"8,977.24",-1
Feb-2020,27-02-2020,-,-,"8,977.24",-1
"Chq.-Dep,-#169810-drawn-on-HSBC",27-02-2020,-,NaN,"11,392.24",-1
Chq.-Dep.-#005836-drawn-on-EB!,-,-,NaN,"14,792.24",-1
Carried,-,-,NaN,-,-1
